Seq,Task ID,Title,Category,Implementation Status,Screen,Route,Page Entry,Depends On,Requirement Count,Priority,Detail File Exists,wave_id
1,PAGE-SCR001,`/` 메인 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-001,`/`,`src/app/page.tsx`,COMPONENT-SHELL-HEADER-FOOTER; COMPONENT-SEO-METADATA; COMPONENT-FAVORITES-LOCALSTORAGE; COMPONENT-SHARE-BUTTON; COMPONENT-SC001-HERO-SEARCH; COMPONENT-SC001-DESTINATION-GRID; COMPONENT-SC001-DRAWER-SHELL; COMPONENT-SC001-MATE-TEASER; COMPONENT-SC001-ABOUT-TEASER; DATA-DESTINATIONS; DATA-SAFETY; API-MATES-READ,35,P0,YES,W04
2,PAGE-SCR002,`/about` 대표 소개 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-002,`/about`,`src/app/about/page.tsx`,COMPONENT-SHELL-HEADER-FOOTER; COMPONENT-SEO-METADATA; COMPONENT-SHARE-BUTTON; COMPONENT-SC002-PROFILE-HERO-STATS; COMPONENT-SC002-TIMELINE; COMPONENT-SC002-COUNTRY-CHIPS; COMPONENT-SC002-GALLERY; COMPONENT-SC002-PICKS-CTA; DATA-REPRESENTATIVE,18,P1,YES,W05
3,PAGE-SCR003,`/travel-tools` 통합 여행 준비 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-003,`/travel-tools`,`src/app/travel-tools/page.tsx`,COMPONENT-SHELL-HEADER-FOOTER; COMPONENT-SEO-METADATA; COMPONENT-SC003-TABS-SHELL; COMPONENT-SC003-FLIGHT-FORM; COMPONENT-SC003-HOTEL-FORM; COMPONENT-SC003-MATE-WRITE; API-MATES-WRITE; API-AUTH; DATA-POLICY-CONTENT,34,P0,YES,W06
4,PAGE-SCR004,`/mates` 동행 조회 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-004,`/mates`,`src/app/mates/page.tsx`,COMPONENT-SHELL-HEADER-FOOTER; COMPONENT-SEO-METADATA; COMPONENT-SHARE-BUTTON; COMPONENT-SC004-FILTER-BAR; COMPONENT-SC004-LIST; COMPONENT-SC004-DETAIL-PANEL; COMPONENT-SC004-APPLY-FLOW; COMPONENT-SC004-REPORT-BLOCK; API-MATES-READ; API-APPLICATIONS; API-BLOCKS; API-REPORTS,23,P0,YES,W08
5,PAGE-SCR005,`/account` 계정·관리 페이지 조립,PAGE_OWNER,IMPLEMENT,SCR-005,`/account`,`src/app/account/page.tsx`,COMPONENT-SHELL-HEADER-FOOTER; COMPONENT-SEO-METADATA; COMPONENT-SC005-AUTH; COMPONENT-SC005-PROFILE; COMPONENT-SC005-MY-ACTIVITY; COMPONENT-SC005-ADMIN; API-AUTH; API-APPLICATIONS; API-BLOCKS; API-ADMIN-SETTINGS; API-ACCOUNT-DELETE; DATA-POLICY-CONTENT,23,P0,YES,W09
6,COMPONENT-SHELL-HEADER-FOOTER,전역 Header/Footer 공용 컴포넌트,COMPONENT,IMPLEMENT,ALL,-,-,,8,P0,YES,W01
7,COMPONENT-ERROR-STATES,404/오류 화면,COMPONENT,IMPLEMENT,-,`*`,`src/app/not-found.tsx`,COMPONENT-SHELL-HEADER-FOOTER,1,P1,YES,W01
8,COMPONENT-SEO-METADATA,페이지별 SEO metadata 헬퍼,COMPONENT,IMPLEMENT,ALL,-,-,,2,P1,YES,W01
9,COMPONENT-FAVORITES-LOCALSTORAGE,여행지 즐겨찾기(localStorage),COMPONENT,IMPLEMENT,SCR-001,-,-,,1,P2,YES,W01
10,COMPONENT-SHARE-BUTTON,URL 공유 버튼,COMPONENT,IMPLEMENT,"SCR-001, SCR-002, SCR-004",-,-,,1,P2,YES,W01
11,COMPONENT-SC001-HERO-SEARCH,SCR-001 Hero + 통합 검색,COMPONENT,IMPLEMENT,SCR-001,-,-,DATA-DESTINATIONS,2,P0,YES,W04
12,COMPONENT-SC001-DESTINATION-GRID,국내/해외 Card Grid + 테마 Chip + 필터,COMPONENT,IMPLEMENT,SCR-001,-,-,DATA-DESTINATIONS,5,P0,YES,W04
13,COMPONENT-SC001-DRAWER-SHELL,여행지/안전정보 공용 Drawer,COMPONENT,IMPLEMENT,SCR-001,-,-,DATA-DESTINATIONS; DATA-SAFETY,12,P0,YES,W04
14,COMPONENT-SC001-MATE-TEASER,최근 동행글 3개/Empty State,COMPONENT,IMPLEMENT,SCR-001,-,-,API-MATES-READ,0,P1,YES,W04
15,COMPONENT-SC001-ABOUT-TEASER,대표 소개 요약 카드,COMPONENT,IMPLEMENT,SCR-001,-,-,DATA-REPRESENTATIVE,1,P2,YES,W04
16,COMPONENT-SC002-PROFILE-HERO-STATS,Profile Hero + 지표 3개,COMPONENT,IMPLEMENT,SCR-002,-,-,DATA-REPRESENTATIVE,2,P1,YES,W05
17,COMPONENT-SC002-TIMELINE,여행 Timeline,COMPONENT,IMPLEMENT,SCR-002,-,-,DATA-REPRESENTATIVE,1,P1,YES,W05
18,COMPONENT-SC002-COUNTRY-CHIPS,방문국가 30개 권역별 Chip,COMPONENT,IMPLEMENT,SCR-002,-,-,DATA-REPRESENTATIVE,1,P1,YES,W05
19,COMPONENT-SC002-GALLERY,여행 사진 Gallery 8장,COMPONENT,IMPLEMENT,SCR-002,-,-,DATA-REPRESENTATIVE,1,P2,YES,W05
20,COMPONENT-SC002-PICKS-CTA,추천 여행지 4 + CTA 배너,COMPONENT,IMPLEMENT,SCR-002,-,-,DATA-REPRESENTATIVE; DATA-DESTINATIONS,2,P1,YES,W05
21,COMPONENT-SC003-TABS-SHELL,항공/숙소/동행 3-Tab 컨테이너,COMPONENT,IMPLEMENT,SCR-003,-,-,,0,P0,YES,W06
22,COMPONENT-SC003-FLIGHT-FORM,항공 조건 Form+요약+외부이동,COMPONENT,IMPLEMENT,SCR-003,-,-,COMPONENT-SC003-TABS-SHELL,10,P0,YES,W06
23,COMPONENT-SC003-HOTEL-FORM,숙소 조건 Form+요약+외부이동,COMPONENT,IMPLEMENT,SCR-003,-,-,COMPONENT-SC003-TABS-SHELL,9,P0,YES,W06
24,COMPONENT-SC003-MATE-WRITE,동행 작성 Tab(로그인안내/Form),COMPONENT,IMPLEMENT,SCR-003,-,-,COMPONENT-SC003-TABS-SHELL; API-MATES-WRITE; API-AUTH; DATA-POLICY-CONTENT,5,P0,YES,W06
25,COMPONENT-SC004-FILTER-BAR,동행 목록 Filter+결과요약,COMPONENT,IMPLEMENT,SCR-004,-,-,API-MATES-READ,1,P0,YES,W07
26,COMPONENT-SC004-LIST,"동행글 목록(최대 8, 우선노출)",COMPONENT,IMPLEMENT,SCR-004,-,-,API-MATES-READ,2,P0,YES,W07
27,COMPONENT-SC004-DETAIL-PANEL,동행 상세 패널(Desktop 분할/Mobile Drawer),COMPONENT,IMPLEMENT,SCR-004,-,-,API-MATES-READ,2,P0,YES,W07
28,COMPONENT-SC004-APPLY-FLOW,참가 메시지 제출,COMPONENT,IMPLEMENT,SCR-004,-,-,API-APPLICATIONS,4,P0,YES,W08
29,COMPONENT-SC004-REPORT-BLOCK,신고/차단 버튼,COMPONENT,IMPLEMENT,SCR-004,-,-,API-REPORTS; API-BLOCKS,3,P0,YES,W08
30,COMPONENT-SC005-AUTH,Guest 인증 Tab,COMPONENT,IMPLEMENT,SCR-005,-,-,API-AUTH,1,P0,YES,W09
